
Cədvəl 1.5. Azərbaycan Respublikasının xarici ticarəti (tədiyə balansı metodologiyasına əsasən)
Table 1.5. Foreign trade of the Republic of Azerbaijan (based on a balance of payments methodology)

min ABŞ dolları / thousand USD
Tarix, İxrac (FOB), İdxal (FOB), Ticarət balansı, =BY8+BY18+BY28+BY36
Cəmi, Əvvəlki ilin müvafiq dövrünə nisbətən dəyişmə, %-lə, o cümlədən, Cəmi, Əvvəlki ilin müvafiq dövrünə nisbətən dəyişmə, %-lə, o cümlədən, Cəmi, o cümlədən
Uzaq xarici dövlətlərə, Əvvəlki ilin müvafiq dövrünə nisbətən dəyişmə, %-lə, MDB dövlətlərinə, Əvvəlki ilin müvafiq dövrünə nisbətən dəyişmə, %-lə, Uzaq xarici dövlətlərdən, Əvvəlki ilin müvafiq dövrünə nisbətən dəyişmə, %-lə, MDB dövlətlərindən, Əvvəlki ilin müvafiq dövrünə nisbətən dəyişmə, %-lə, Uzaq xarici dövlətlər üzrə, MDB dövlətləri üzrə




Date, Exports (FOB), Imports (FOB), Trade balance
Total, On a relevant period of previous year, %, of which, Total, On a relevant period of previous year, %, of which, Total, of which
To non-CIS countries, On a relevant period of previous year, %, To CIS countries, On a relevant period of previous year, %, From non-CIS countries, On a relevant period of previous year, %, From CIS countries, On a relevant period of previous year, %, On non-CIS countries, On CIS countries



1995, 612343, 89.8, 339297, 93.6, 273046, 85.6, 985432, 115.8, 755527, 185.6, 229905, 51.8, =B19-H19, =D19-J19, =F19-L19
II  rüb, 1696976, 179.32483298355515, 1527473, 222.62281271952963, 169503, 65.14635571202362, 1009210, 120.08300542462345, 627638, 114.7206822871828, 381572, 130.08461575175744, 687766, 899835, -212069
III rüb, 2204873, 242.17318192152698, 1788751, 221.20759803618463, 416122, 408.6719110613515, 1215516, 121.08759234612963, 870559, 117.63929277969363, 344957, 130.76062894226104, 989357, 918192, 71165
IV rüb, 2622784, 227.2802033298469, 2391477, 241.7108013373816, 231307, 140.5959190123937, 1008022, 98.31080751593126, 645728, 98.26293516023149, 362294, 98.39624768128104, 1614762, 1745749, -130987

2006, 13014633, 170.14900845369607, 12067616, 179.12099378800858, 947017, 103.85882910320004, 5269338, 121.13818914047059, 3504432, 118.10322108394877, 1764906, 127.65169843663546, 7745295, 8563184, -817889
I  rüb, 2463706, 219.12678584293386, 2308638, 224.26371875698203, 155068, 163.4031970832148, 958143, 85.76987563433828, 586856, 71.27773924893452, 371287, 126.3861089552442, 1505563, 1721782, -216219
II  rüb, 2950207, 173.85083819688668, 2684422, 175.74268088535771, 265785, 156.8025344684165, 1263014, 125.14877973860743, 878175, 139.91743648408797, 384839, 100.85619489899678, 1687193, 1806247, -119054
III rüb, 3642944, 165.22239602915906, 3419035, 191.1409134082944, 223909, 53.80849846919894, 1457857, 119.93729412035712, 1022926, 117.50220260774972, 434931, 126.08267117350857, 2185087, 2396109, -211022
IV rüb, 3957776, 150.89980722773967, 3655521, 152.85620560013749, 302255, 130.67265582105168, 1590324, 157.76679477233634, 1016475, 157.41535135536944, 573849, 158.39318343665641, 2367452, 2639046, -271594

2007, 21269317, 163.42617575155595, 20087289, 166.45615007968433, 1182028, 124.8159219950645, 6045019, 114.72065371399596, 4287396, 122.34210850717035, 1757623, 99.58734346191808, 15224298, 15799893, -575595
I  rüb, 4036285, 163.8298157328837, 3809410, 165.00681354114417, 226875, 146.30678154100136, 1186041, 123.78538485382661, 807478, 137.59389015363223, 378563, 101.95967001268559, 2850244, 3001932, -151688
II  rüb, 5215560, 176.78623906729257, 4913104, 183.0227885183477, 302456, 113.79724213179824, 1417480, 112.22995152864496, 955113, 108.76112392176958, 462367, 120.14556736713276, 3798080, 3957991, -159911
III rüb, 5062744, 138.9739726990039, 4712334, 137.82643348196203, 350410, 156.49661246309884, 1555665, 106.70902564517644, 1181596, 115.51138596535819, 374069, 86.00651597609735, 3507079, 3530738, -23659
IV rüb, 6954728, 175.72313339612955, 6652441, 181.98338896151876, 302287, 100.01058708706225, 1885833, 118.58168524149796, 1343209, 132.14383039425465, 542624, 94.55867310041491, 5068895, 5309232, -240337

2008, 30586343, 143.80500793702026, 28904059, 143.89228431970088, 1682284, 142.32184009177448, 7574679, 125.30446967991334, 5438709, 126.85343271300343, 2135970, 121.52606104949697, 23011664, 23465350, -453686
I  rüb, 7237027, 179.29920706788545, 6927480, 181.85178282201178, 309547, 136.43944903581266, 1420943, 119.80555478267614, 1021862, 126.54982550608189, 399081, 105.4199697276279, 5816084, 5905618, -89534
II  rüb, 9996038, 191.65800029143563, 9526529, 193.9004140763151, 469509, 155.2321660010051, 1794274, 126.5819623557299, 1323894, 138.6112428581749, 470380, 101.73303890632333, 8201764, 8202635, -871
III rüb, 9010345, 177.97354557133445, 8545689, 181.34726867832373, 464656, 132.60352158899576, 2280618, 146.60084272642246, 1584822, 134.12553867819457, 695796, 186.00739435772545, 6729727, 6960867, -231140
IV rüb, 4342933, 62.44576351512238, 3904361, 58.69065204787235, 438572, 145.0846381088171, 2078844, 110.23478749178746, 1508131, 112.27820838008084, 570713, 105.1765126496432, 2264089, 2396230, -132141

2009, 21096820, 68.97464008691723, 20001681, 69.20024969503417, 1095139, 65.09834249151749, 6513875, 85.99539333614005, 4735929, 87.07818344390186, 1777946, 83.23834136247233, 14582945, 15265752, -682807
I  rüb, 3587634, 49.57331235602686, 3310785, 47.792054253494776, 276849, 89.436822195014, 1476982, 103.94378944123726, 1079532, 105.64361919711271, 397450, 99.59131103710776, 2110652, 2231253, -120601
II  rüb, 5255911, 52.57994217308898, 4952493, 51.98633206281112, 303418, 64.62453328903173, 1451664, 80.90536896817319, 1062036, 80.2206218926893, 389628, 82.83260342701647, 3804247, 3890457, -86210
III rüb, 5946514, 65.996518446297, 5896082, 68.99481130193247, 50432, 10.85362074308736, 1792929, 78.61592778799431, 1344491, 84.83545786214476, 448438, 64.44963753743913, 4153585, 4551591, -398006
IV rüb, 6306761, 145.21893384033325, 5842321, 149.6357790685851, 464440, 105.89823335735066, 1792300, 86.21618553388325, 1249870, 82.87542660418757, 542430, 95.04426918608829, 4514461, 4592451, -77990

2010, 26476026, 125.49771008142459, 24311243, 121.54599905877912, 2164783, 197.67198501742703, 6745603, 103.55745236130566, 4794083, 101.2279322599642, 1951520, 109.76261371267744, 19730423, 19517160, 213263
I  rüb, 6258425, 174.4443552491698, 5760856, 174.00272140897098, 497569, 179.72577108821056, 1217837, 82.45442395371101, 855983, 79.29204507138279, 361854, 91.04390489369733, 5040588, 4904873, 135715
II  rüb, 6933621, 131.92044157520934, 6305395, 127.31759540094252, 628226, 207.04968063859098, 1737831, 119.71303276791323, 1245142, 117.2410351438181, 492689, 126.45112774235938, 5195790, 5060253, 135537
III rüb, 6888150, 115.83509262737799, 6400978, 108.56324589786912, 487172, 965.9977791878173, 1706833, 95.19802513094496, 1212269, 90.16564633009816, 494564, 110.28592581360188, 5181317, 5188709, -7392
IV rüb, 6395830, 101.41227802987936, 5844014, 100.02897820917407, 551816, 118.81319438463527, 2083102, 116.22507392735591, 1480689, 118.46744061382384, 602413, 111.05820105820105, 4312728, 4363325, -50597

2011, 34494880, 130.28722664043312, 31419546, 129.23874768558727, 3075334, 142.0619988239006, 10166471, 150.71256046346042, 7665979, 159.90501207425905, 2500492, 128.13048290563253, 24328409, 23753567, 574842
I  rüb, 8546135, 136.55408509329422, 7627342, 132.39945591419053, 918793, 184.65639941395062, 1991926, 163.5626114167988, 1377351, 160.90868627063855, 614575, 169.8405986945011, 6554209, 6249991, 304218
II  rüb, 9705438, 139.97647116852795, 8839266, 140.18576155815774, 866172, 137.87585996122417, 2581827, 148.56605734389592, 1963507, 157.69341970634673, 618320, 125.49904706620201, 7123611, 6875759, 247852
III  rüb, 8580340, 124.56668336200576, 7788066, 121.66993856251342, 792274, 162.62716248060235, 2653956, 155.49008016601508, 2038878, 168.186928808705, 615078, 124.3677259161605, 5926384, 5749188, 177196
IV rüb, 7662967, 119.81192433194754, 7164872, 122.60189657314304, 498095, 90.26468967916841, 2938762, 141.0762411058124, 2286243, 154.40399705812632, 652519, 108.31754958807329, 4724205, 4878629, -154424

2012, 32634038, 94.60545449063746, 31019406, 98.7264615472165, 1614632, 52.50265499617277, 10417471, 102.46889997522248, 7838856, 102.2551196657335, 2578615, 103.12430513674909, 22216567, 23180550, -963983
I  rüb, 8969981, 104.95950508621735, 8678318, 113.77905959900578, 291663, 31.744146940605773, 2153519, 108.11239975782232, 1635052, 118.70990038123905, 518467, 84.36187609323517, 6816462, 7043266, -226804
II  rüb, 8255228, 85.05775834125157, 7718399, 87.3194561629891, 536829, 61.97718236100913, 2668174, 103.34441463351341, 1929511, 98.26860815876898, 738663, 119.46289946953034, 5587054, 5788888, -201834
III rüb, 7577848, 88.31640704214519, 7282901, 93.51360145124605, 294947, 37.227903477837216, 2475288, 93.26786126069912, 1936149, 94.96149352732239, 539139, 87.65376098641148, 5102560, 5346752, -244192
IV rüb, 7830981, 102.1925450024775, 7339788, 102.44129971896218, 491193, 98.6143205613387, 3120490, 106.18382842843349, 2338144, 102.27014363739988, 782346, 119.89627888230075, 4710491, 5001644, -291153

2013, 31702945, 97.1468654905654, 30053947, 96.88756451364672, 1648998, 102.12841068429215, 10320593, 99.07004300755912, 7702277, 98.2576666799339, 2618316, 101.53962495370577, 21382352, 22351670, -969318
I  rüb, 8273177, 92.23182301055041, 7864164, 90.61852769165638, 409013, 140.23479152309343, 2235816, 103.82151260332506, 1652430, 101.06284081484871, 583386, 112.52133694140612, 6037361, 6211734, -174373
II  rüb, 7558422, 91.55921556618424, 7163104, 92.80556757949414, 395318, 73.6394643359431, 2860024, 107.1903106768899, 2167395, 112.32871955640573, 692629, 93.76792935343992, 4698398, 4995709, -297311
III  rüb, 7923963, 104.56745767399926, 7669407, 105.3070335570949, 254556, 86.30567525691056, 2704978, 109.27932426448963, 1989530, 102.75707086593027, 715448, 132.7019562673077, 5218985, 5679877, -460892
IV rüb, 7947383, 101.48642935029469, 7357272, 100.23820851501432, 590111, 120.1383163033675, 2519775, 80.74933744379888, 1892922, 80.95831565549427, 626853, 80.12477855066685, 5427608, 5464350, -36742

2014, 28259629, 89.13881344461846, 27321965, 90.90973974233734, 937664, 56.86265235009381, 9332001, 90.4211705664587, 7154344, 92.88609069759501, 2177657, 83.1701368360427, 18927628, 20167621, -1239993
I  rüb, 7503648, 90.69850675260544, 7279897, 92.57051353456006, 223751, 54.70510717263265, 1959858, 87.65739220043152, 1457305, 88.19163292847504, 502553, 86.14416526964995, 5543790, 5822592, -278802
II  rüb, 8090156, 107.03498693245758, 7824676, 109.2358284899954, 265480, 67.15606170222453, 2506058, 87.62367029087868, 1956212, 90.25636766717649, 549846, 79.38535637404729, 5584098, 5868464, -284366
III  rüb, 7338205, 92.60776457436765, 7125400, 92.90679188104113, 212805, 83.59850091924763, 2257734, 83.46589140466207, 1757354, 88.33010811598719, 500380, 69.93939461707909, 5080471, 5368046, -287575
IV rüb, 5327620, 67.03615517208621, 5091992, 69.2103268711555, 235628, 39.929437004224624, 2608351, 103.51523449514342, 1983473, 104.78366250696014, 624878, 99.6849341073585, 2719269, 3108519, -389250
 +
2015, =SUM(B124:B127), =(B124+B125+B126+B127)/(B118+B119+B120+B121)*100, =SUM(D124:D127), =(D124+D125+D126+D127)/(D118+D119+D120+D121)*100, =SUM(F124:F127), =(F124+F125+F126+F127)/(F118+F119+F120+F121)*100, =SUM(H124:H127), =(H124+H125+H126+H127)/(H118+H119+H120+H121)*100, =SUM(J124:J127), =(J124+J125+J126+J127)/(J118+J119+J120+J121)*100, =SUM(L124:L127), =(L124+L125+L126+L127)/(L118+L119+L120+L121)*100, =SUM(N124:N127), =SUM(O124:O127), =SUM(P124:P127)
I  rüb, 4249512, =B124/B118*100, 4156148, =D124/D118*100, 93364, =F124/F118*100, 2491530, =H124/H118*100, 2017251, =J124/J118*100, 474279, =L124/L118*100, =B124-H124, =D124-J124, =F124-L124
II  rüb, =D125+F125, =B125/B119*100, 4245173, =D125/D119*100, 182442, =F125/F119*100, =J125+L125, =H125/H119*100, 1863683, =J125/J119*100, 563819, =L125/L119*100, =B125-H125, =D125-J125, =F125-L125
III  rüb, =D126+F126, =B126/B120*100, 3530491, =D126/D120*100, 115715, =F126/F120*100, =J126+L126, =H126/H120*100, 1639238, =J126/J120*100, 462489, =L126/L120*100, =O126+P126, =D126-J126, =F126-L126
IV rüb, =D127+F127, =B127/B121*100, 3080611, =D127/D121*100, 182108, =F127/F121*100, =J127+L127, =H127/H121*100, 2125716, =J127/J121*100, 627154, =L127/L121*100, =O127+P127, =D127-J127, =F127-L127

2016, =SUM(B130:B133), =(B130+B131+B132+B133)/(B124+B125+B126+B127)*100, =SUM(D130:D133), =(D130+D131+D132+D133)/(D124+D125+D126+D127)*100, =SUM(F130:F133), =(F130+F131+F132+F133)/(F124+F125+F126+F127)*100, =SUM(H130:H133), =(H130+H131+H132+H133)/(H124+H125+H126+H127)*100, =SUM(J130:J133), =(J130+J131+J132+J133)/(J124+J125+J126+J127)*100, =SUM(L130:L133), =(L130+L131+L132+L133)/(L124+L125+L126+L127)*100, =SUM(N130:N133), =SUM(O130:O133), =SUM(P130:P133)
I  rüb, =D130+F130, =B130/B124*100, 2428049, =D130/D124*100, 123938, =F130/F124*100, =J130+L130, =H130/H124*100, 1561476, =J130/J124*100, 368805, =L130/L124*100, =B130-H130, =D130-J130, =F130-L130
II  rüb, =D131+F131, =B131/B125*100, 3507178, =D131/D125*100, 201712, =F131/F125*100, =J131+L131, =H131/H125*100, 1656231, =J131/J125*100, 740765, =L131/L125*100, =B131-H131, =D131-J131, =F131-L131
III  rüb, =D132+F132, =B132/B126*100, 3152344, =D132/D126*100, 121631, =F132/F126*100, =J132+L132, =H132/H126*100, 1757327, =J132/J126*100, 535295, =L132/L126*100, =B132-H132, =D132-J132, =F132-L132
IV rüb, =D133+F133, =B133/B127*100, 3449555, =D133/D127*100, 226104, =F133/F127*100, =J133+L133, =H133/H127*100, 1674061, =J133/J127*100, 710216, =L133/L127*100, =B133-H133, =D133-J133, =F133-L133

2017, =SUM(B136:B139), =((B136+B137+B138+B139)/(B130+B131+B132+B133))*100, =SUM(D136:D139), =((D136+D137+D138+D139)/(D130+D131+D132+D133))*100, =SUM(F136:F139), =((F136+F137+F138+F139)/(F130+F131+F132+F133))*100, =SUM(H136:H139), =((H136+H137+H138+H139)/(H130+H131+H132+H133))*100, =SUM(J136:J139), =((J136+J137+J138+J139)/(J130+J131+J132+J133))*100, =SUM(L136:L139), =((L136+L137+L138+L139)/(L130+L131+L132+L133))*100, =SUM(N136:N139), =SUM(O136:O139), =SUM(P136:P139)
I  rüb, =D136+F136, =B136/B130*100, 3378950, =D136/D130*100, 176799, =F136/F130*100, =J136+L136, =H136/H130*100, 1192142, =J136/J130*100, 473734, =L136/L130*100, =B136-H136, =D136-J136, =F136-L136
II  rüb, =D137+F137, =B137/B131*100, 3260533, =D137/D131*100, 294742, =F137/F131*100, =J137+L137, =H137/H131*100, 1402666, =J137/J131*100, 563378, =L137/L131*100, =B137-H137, =D137-J137, =F137-L137
III  rüb, =D138+F138, =B138/B132*100, =10156043-D136-D137, =D138/D132*100, =635413-F136-F137, =+F138/F132*100, =J138+L138, =H138/H132*100, =4735724-J136-J137, =J138/J132*100, =1654089-L136-L137, =L138/L132*100, =B138-H138, =D138-J138, =F138-L138
IV rüb, =D139+F139, =B139/B133*100, =14089781.933162-D136-D137-D138, =D139/D133*100, =1062276.68420835-F136-F137-F138, =+F139/F133*100, =J139+L139, =H139/H133*100, =6577309.4551737-J136-J137-J138, =J139/J133*100, =2460006.519-L136-L137-L138, =L139/L133*100, =B139-H139, =D139-J139, =F139-L139

